module	version	license	license_file	source
github.com/remyoudompheng/bigfft	v0.0.0-20230129092748-24d4a6f8daec	BSD-3-Clause	third_party/licenses/github.com/remyoudompheng/bigfft/LICENSE	https://github.com/remyoudompheng/bigfft/blob/24d4a6f8daec/LICENSE
github.com/russellhaering/goxmldsig	v1.6.0	Apache-2.0	third_party/licenses/github.com/russellhaering/goxmldsig/LICENSE	https://github.com/russellhaering/goxmldsig/blob/v1.6.0/LICENSE
github.com/stretchr/testify	v1.11.1	MIT	third_party/licenses/github.com/stretchr/testify/assert/LICENSE	https://github.com/stretchr/testify/blob/v1.11.1/LICENSE
github.com/tinylib/msgp	v1.6.3	MIT	third_party/licenses/github.com/tinylib/msgp/msgp/LICENSE	https://github.com/tinylib/msgp/blob/v1.6.3/LICENSE
github.com/vmihailenco/msgpack/v5	v5.4.1	BSD-2-Clause	third_party/licenses/github.com/vmihailenco/msgpack/v5/LICENSE	https://github.com/vmihailenco/msgpack/blob/v5.4.1/LICENSE
github.com/vmihailenco/tagparser/v2	v2.0.0	BSD-2-Clause	third_party/licenses/github.com/vmihailenco/tagparser/v2/LICENSE	https://github.com/vmihailenco/tagparser/blob/v2.0.0/LICENSE
github.com/wiggin77/merror	v1.0.5	MIT	third_party/licenses/github.com/wiggin77/merror/LICENSE	https://github.com/wiggin77/merror/blob/v1.0.5/LICENSE
github.com/wiggin77/srslog	v1.0.1	BSD-3-Clause	third_party/licenses/github.com/wiggin77/srslog/LICENSE	https://github.com/wiggin77/srslog/blob/v1.0.1/LICENSE
golang.org/x/crypto	v0.55.0	BSD-3-Clause	third_party/licenses/golang.org/x/crypto/LICENSE	https://cs.opensource.google/go/x/crypto/+/v0.55.0:LICENSE
golang.org/x/mod	v0.40.0	BSD-3-Clause	third_party/licenses/golang.org/x/mod/semver/LICENSE	https://cs.opensource.google/go/x/mod/+/v0.40.0:LICENSE
golang.org/x/net	v0.57.0	BSD-3-Clause	third_party/licenses/golang.org/x/net/LICENSE	https://cs.opensource.google/go/x/net/+/v0.57.0:LICENSE
golang.org/x/sys	v0.47.0	BSD-3-Clause	third_party/licenses/golang.org/x/sys/unix/LICENSE	https://cs.opensource.google/go/x/sys/+/v0.47.0:LICENSE
golang.org/x/text	v0.41.0	BSD-3-Clause	third_party/licenses/golang.org/x/text/LICENSE	https://cs.opensource.google/go/x/text/+/v0.41.0:LICENSE
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260526163538-3dc84a4a5aaa	Apache-2.0	third_party/licenses/google.golang.org/genproto/googleapis/rpc/status/LICENSE	https://github.com/googleapis/go-genproto/blob/3dc84a4a5aaa/googleapis/rpc/LICENSE
google.golang.org/grpc	v1.83.1	Apache-2.0	third_party/licenses/google.golang.org/grpc/LICENSE	https://github.com/grpc/grpc-go/blob/v1.83.1/LICENSE
google.golang.org/protobuf	v1.36.11	BSD-3-Clause	third_party/licenses/google.golang.org/protobuf/LICENSE	https://github.com/protocolbuffers/protobuf-go/blob/v1.36.11/LICENSE
gopkg.in/natefinch/lumberjack.v2	v2.2.1	MIT	third_party/licenses/gopkg.in/natefinch/lumberjack.v2/LICENSE	https://github.com/natefinch/lumberjack/blob/v2.2.1/LICENSE
gopkg.in/yaml.v2	v2.4.0	Apache-2.0	third_party/licenses/gopkg.in/yaml.v2/LICENSE	https://github.com/go-yaml/yaml/blob/v2.4.0/LICENSE
gopkg.in/yaml.v3	v3.0.1	MIT	third_party/licenses/gopkg.in/yaml.v3/LICENSE	https://github.com/go-yaml/yaml/blob/v3.0.1/LICENSE
modernc.org/libc	v1.70.0	MIT	third_party/licenses/modernc.org/libc/LICENSE-3RD-PARTY.md	https://gitlab.com/cznic/libc/-/blob/v1.70.0/LICENSE-3RD-PARTY.md
modernc.org/mathutil	v1.7.1	BSD-3-Clause	third_party/licenses/modernc.org/mathutil/LICENSE	https://gitlab.com/cznic/mathutil/-/blob/master/LICENSE
modernc.org/memory	v1.11.0	BSD-3-Clause	third_party/licenses/modernc.org/memory/LICENSE-GO	https://gitlab.com/cznic/memory/-/blob/v1.11.0/LICENSE-GO
modernc.org/sqlite	v1.48.0	BSD-3-Clause	third_party/licenses/modernc.org/sqlite/LICENSE	https://gitlab.com/cznic/sqlite/-/blob/v1.48.0/LICENSE
